post_title,post_content,post_status,post_type,adresse,ville,code_postal,specialites,langues,consultation_video,telephone,email,profil_url,photo_url
Me Noémie SAIARH,"Droit commercial, des affaires et de la concurrence, Contrats internationaux, Droit du numérique et des communications",publish,avocat,47 Rue Sommeiller,ANNECY,74000,"Droit commercial, des affaires et de la concurrence, Contrats internationaux, Droit du numérique et des communications","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=56701&maxw=60&maxh=60&maximize=&mode=w&code=db9d4c1238
Me Hélène ROTHERA,"Droit bancaire et boursier, Droit de la famille, des personnes et de leur patrimoine, Droit pénal",publish,avocat,12 Rue Eloi Serand,ANNECY,74000,"Droit bancaire et boursier, Droit de la famille, des personnes et de leur patrimoine, Droit pénal","",Non,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=46370&maxw=60&maxh=60&maximize=&mode=w&code=1666b7707e
Me Emeline DUBOIS,"Droit commercial, des affaires et de la concurrence, Droit des sociétés, Droit du numérique et des communications",publish,avocat,1 Rue de l'Industrie,ANNECY,74000,"Droit commercial, des affaires et de la concurrence, Droit des sociétés, Droit du numérique et des communications","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=45722&maxw=60&maxh=60&maximize=&mode=w&code=02fb57517f
Me Julie ACIN,"Droit commercial, des affaires et de la concurrence, Droit de la famille, des personnes et de leur patrimoine, Droit pénal",publish,avocat,46 Avenue Gambetta,ANNECY,74000,"Droit commercial, des affaires et de la concurrence, Droit de la famille, des personnes et de leur patrimoine, Droit pénal","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=44253&maxw=60&maxh=60&maximize=&mode=w&code=34b6027f87
Me Lamia EL FATH,"Droit commercial, des affaires et de la concurrence, Droit du numérique et des communications, Droit international et de l'Union européenne",publish,avocat,37 Rue Cassiopée,CHAVANOD,74650,"Droit commercial, des affaires et de la concurrence, Droit du numérique et des communications, Droit international et de l'Union européenne","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=50409&maxw=60&maxh=60&maximize=&mode=w&code=06b7daded4
Me Stephane COERCHON,"Droit commercial, des affaires et de la concurrence, Droit de l'arbitrage, Droit bancaire et financier",publish,avocat,19 Rue de la Paix,ANNECY,74000,"Droit commercial, des affaires et de la concurrence, Droit de l'arbitrage, Droit bancaire et financier","",Non,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=12457&maxw=60&maxh=60&maximize=&mode=w&code=b898b0d859
Me Pauline BATLOGG,"Droit des garanties, des sûretés et des mesures d'exécution, Droit de la famille, des personnes et de leur patrimoine, Droit pénal",publish,avocat,14 Rue Louis Revon,ANNECY,74000,"Droit des garanties, des sûretés et des mesures d'exécution, Droit de la famille, des personnes et de leur patrimoine, Droit pénal","",Non,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=47066&maxw=60&maxh=60&maximize=&mode=w&code=959bb8b144
Me Lucas DEGOMME,"Droit commercial, des affaires et de la concurrence, Droit immobilier",publish,avocat,44 Route d'Annecy,VEYRIER DU LAC,74290,"Droit commercial, des affaires et de la concurrence, Droit immobilier","",Non,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=58271&maxw=60&maxh=60&maximize=&mode=w&code=ec74f5df3b
Me Benjamin JOUBERT,"Droit commercial, des affaires et de la concurrence, Droit de la santé, Droit public",publish,avocat,9 Rue Aristide Briand,ANNECY,74000,"Droit commercial, des affaires et de la concurrence, Droit de la santé, Droit public","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=55115&maxw=60&maxh=60&maximize=&mode=w&code=3ee827cd28
Me Pierre-Antoine RONDET,"Droit des garanties, des sûretés et des mesures d'exécution, Droit commercial, des affaires et de la concurrence, Droit pénal",publish,avocat,12 Rue Guillaume Fichet,ANNECY,74000,"Droit des garanties, des sûretés et des mesures d'exécution, Droit commercial, des affaires et de la concurrence, Droit pénal","",Oui,"","","",https://consultation.avocat.fr/includes/plugins/photo-profil.php?userclass=User&userid=48626&maxw=60&maxh=60&maximize=&mode=w&code=0c39782fbc
